bodyPart,equipment,gifUrl,id,name,target,secondaryMuscles,instructions
waist,body weight,https://v2.exercisedb.io/image/GFWcp5hAsaNqu0,0001,3/4 sit-up,abs,"['hip flexors', 'lower back']","['Lie flat on your back with your knees bent and feet flat on the ground.', 'Place your hands behind your head with your elbows pointing outwards.', 'Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle.', 'Pause for a moment at the top, then slowly lower your upper body back down to the starting position.', 'Repeat for the desired number of repetitions.']"
waist,body weight,https://v2.exercisedb.io/image/5GKA75UtOfJ5gk,0002,45° side bend,abs,['obliques'],"['Stand with your feet shoulder-width apart and your arms extended straight down by your sides.', 'Keeping your back straight and your core engaged, slowly bend your torso to one side, lowering your hand towards your knee.', 'Pause for a moment at the bottom, then slowly return to the starting position.', 'Repeat on the other side.', 'Continue alternating sides for the desired number of repetitions.']"
waist,body weight,https://v2.exercisedb.io/image/zzSUGbEjG2K3rv,0003,air bike,abs,['hip flexors'],"['Lie flat on your back with your hands placed behind your head.', 'Lift your legs off the ground and bend your knees at a 90-degree angle.', 'Bring your right elbow towards your left knee while simultaneously straightening your right leg.', 'Return to the starting position and repeat the movement on the opposite side, bringing your left elbow towards your right knee while straightening your left leg.', 'Continue alternating sides in a pedaling motion for the desired number of repetitions.']"
waist,body weight,https://v2.exercisedb.io/image/B0LaBsk5lclUjZ,0006,alternate heel touchers,abs,['obliques'],"['Lie flat on your back with your knees bent and feet flat on the ground.', 'Extend your arms straight out to the sides, parallel to the ground.', 'Engaging your abs, lift your shoulders off the ground and reach your right hand towards your right heel.', 'Return to the starting position and repeat on the left side, reaching your left hand towards your left heel.', 'Continue alternating sides for the desired number of repetitions.']"
back,cable,https://v2.exercisedb.io/image/47-0XxJ7DYOMmA,0007,alternate lateral pulldown,lats,"['biceps', 'rhomboids']","['Sit on the cable machine with your back straight and feet flat on the ground.', 'Grasp the handles with an overhand grip, slightly wider than shoulder-width apart.', 'Lean back slightly and pull the handles towards your chest, squeezing your shoulder blades together.', 'Pause for a moment at the peak of the movement, then slowly release the handles back to the starting position.', 'Repeat for the desired number of repetitions.']"
chest,leverage machine,https://v2.exercisedb.io/image/2mSvbnPhdg60a9,0009,assisted chest dip (kneeling),pectorals,"['triceps', 'shoulders']","['Adjust the machine to your desired height and secure your knees on the pad.', 'Grasp the handles with your palms facing down and your arms fully extended.', 'Lower your body by bending your elbows until your upper arms are parallel to the floor.', 'Pause for a moment, then push yourself back up to the starting position.', 'Repeat for the desired number of repetitions.']"
waist,assisted,https://v2.exercisedb.io/image/55IU45UQ23tXJc,0010,assisted hanging knee raise with throw down,abs,"['hip flexors', 'lower back']","['Hang from a pull-up bar with your arms fully extended and your palms facing away from you.', 'Engage your core and lift your knees towards your chest, keeping your legs together.', 'Once your knees are at chest level, explosively throw your legs down towards the ground, extending them fully.', 'Allow your legs to swing back up and repeat the movement for the desired number of repetitions.']"
waist,assisted,https://v2.exercisedb.io/image/R3h7g5cMcwkHzh,0011,assisted hanging knee raise,abs,['hip flexors'],"['Hang from a pull-up bar with your arms fully extended and your palms facing away from you.', 'Engage your core muscles and lift your knees towards your chest, bending at the hips and knees.', 'Pause for a moment at the top of the movement, squeezing your abs.', 'Slowly lower your legs back down to the starting position.', 'Repeat for the desired number of repetitions.']"
waist,assisted,https://v2.exercisedb.io/image/gkzBiT5doPWhy6,0012,assisted lying leg raise with lateral throw down,abs,"['hip flexors', 'obliques']","['Lie flat on your back with your legs extended and your arms by your sides.', 'Place your hands under your glutes for support.', 'Engage your abs and lift your legs off the ground, keeping them straight.', 'While keeping your legs together, lower them to one side until they are a few inches above the ground.', 'Pause for a moment, then lift your legs back to the starting position.', 'Repeat the movement to the other side.', 'Continue alternating sides for the desired number of repetitions.']"
waist,assisted,https://v2.exercisedb.io/image/2lBTXMjGo0Zw6X,0013,assisted lying leg raise with throw down,abs,"['hip flexors', 'quadriceps']","['Lie flat on your back with your legs extended and your arms by your sides.', 'Place your hands under your glutes for support.', 'Engage your core and lift your legs off the ground, keeping them straight.', 'Raise your legs until they are perpendicular to the ground.', 'Lower your legs back down to the starting position.', 'Simultaneously, throw your legs down towards the ground, keeping them straight.', 'Raise your legs back up to the starting position.', 'Repeat for the desired number of repetitions.']"
waist,medicine ball,https://v2.exercisedb.io/image/E36VfLQmjExg2Z,0014,assisted motion russian twist,abs,"['obliques', 'lower back']","['Sit on the ground with your knees bent and feet flat on the floor.', 'Hold the medicine ball with both hands in front of your chest.', 'Lean back slightly, engaging your abs and keeping your back straight.', 'Slowly twist your torso to the right, bringing the medicine ball towards the right side of your body.', 'Pause for a moment, then twist your torso to the left, bringing the medicine ball towards the left side of your body.', 'Continue alternating sides for the desired number of repetitions.']"
back,leverage machine,https://v2.exercisedb.io/image/kzjd7uR5PMK9GF,0015,assisted parallel close grip pull-up,lats,"['biceps', 'forearms']","['Adjust the machine to your desired weight and height.', 'Place your hands on the parallel bars with a close grip, palms facing each other.', 'Hang from the bars with your arms fully extended and your feet off the ground.', 'Engage your back muscles and pull your body up towards the bars, keeping your elbows close to your body.', 'Continue pulling until your chin is above the bars.', 'Pause for a moment at the top, then slowly lower your body back down to the starting position.', 'Repeat for the desired number of repetitions.']"
upper legs,assisted,https://v2.exercisedb.io/image/AhX63mZTq9XOO9,0016,assisted prone hamstring,hamstrings,"['glutes', 'lower back']","['Lie face down on a mat or bench with your legs fully extended.', 'Have a partner or use a resistance band to secure your ankles.', 'Engage your hamstrings and lift your legs towards your glutes, keeping your knees straight.', 'Pause for a moment at the top, then slowly lower your legs back down to the starting position.', 'Repeat for the desired number of repetitions.']"
back,leverage machine,https://v2.exercisedb.io/image/7RUjI55UuhrmvY,0017,assisted pull-up,lats,"['biceps', 'forearms']","['Adjust the machine to your desired weight and height settings.', 'Grasp the handles with an overhand grip, slightly wider than shoulder-width apart.', 'Hang with your arms fully extended and your feet off the ground.', 'Engage your back muscles and pull your body up towards the handles, keeping your elbows close to your body.', 'Continue pulling until your chin is above the handles.', 'Pause for a moment at the top, then slowly lower your body back down to the starting position.', 'Repeat for the desired number of repetitions.']"
upper arms,assisted,https://v2.exercisedb.io/image/EY5ve7U3Ir85AD,0018,assisted standing triceps extension (with towel),triceps,['shoulders'],"['Stand with your feet shoulder-width apart and hold a towel with both hands behind your head.', 'Keep your elbows close to your ears and your upper arms stationary.', 'Slowly extend your forearms upward, squeezing your triceps at the top.', 'Pause for a moment, then slowly lower the towel back down to the starting position.', 'Repeat for the desired number of repetitions.']"
upper arms,leverage machine,https://v2.exercisedb.io/image/n64eH5Uwj0w360,0019,assisted triceps dip (kneeling),triceps,"['chest', 'shoulders']","['Adjust the machine to your desired weight and height.', 'Kneel down on the pad facing the machine, with your hands gripping the handles.', 'Lower your body by bending your elbows, keeping your back straight and close to the machine.', 'Pause for a moment at the bottom, then push yourself back up to the starting position.', 'Repeat for the desired number of repetitions.']"
upper legs,body weight,https://v2.exercisedb.io/image/2MSUZVIgjPWmEK,0020,balance board,quads,"['calves', 'hamstrings', 'glutes']","['Place the balance board on a flat surface.', 'Step onto the balance board with one foot, ensuring it is centered.', 'Slowly shift your weight onto the foot on the balance board, keeping your core engaged.', 'Maintain your balance and stability as you hold the position for a desired amount of time.', 'Repeat the exercise with the other foot.']"
back,barbell,https://v2.exercisedb.io/image/G2zQJfzBygYH0x,0022,barbell pullover to press,lats,"['triceps', 'chest', 'shoulders']","['Lie flat on a bench with your head at one end and your feet on the ground.', 'Hold the barbell with a pronated grip (palms facing away from you) and extend your arms straight above your chest.', 'Keeping your arms straight, lower the barbell behind your head in an arc-like motion until you feel a stretch in your lats.', 'Pause for a moment, then reverse the motion and press the barbell back to the starting position above your chest.', 'Repeat for the desired number of repetitions.']"
upper arms,barbell,https://v2.exercisedb.io/image/PEZ5Lr47C6gieX,0023,barbell alternate biceps curl,biceps,['forearms'],"['Stand up straight with your feet shoulder-width apart and hold a barbell in each hand, palms facing forward.', 'Keep your upper arms stationary and exhale as you curl the weights while contracting your biceps.', 'Continue to raise the barbells until your biceps are fully contracted and the barbells are at shoulder level.', 'Hold the contracted position for a brief pause as you squeeze your biceps.', 'Inhale as you slowly begin to lower the barbells back to the starting position.', 'Repeat for the desired number of repetitions, alternating arms.']"
