bodypart,equipment,gifurl,id,name,target,secondarymuscles,instructions,movement_pattern,joints_used,intensity_level,exercise_type,movement_quality,risk_assessment,is_compound,text_combined,tfidf_apart,tfidf_arm,tfidf_arms,tfidf_ball,tfidf_band,tfidf_bar,tfidf_barbell,tfidf_bench,tfidf_bend,tfidf_bent,tfidf_biceps,tfidf_body,tfidf_cable,tfidf_chest,tfidf_close,tfidf_continue,tfidf_core,tfidf_curl,tfidf_desired,tfidf_desired number,tfidf_dumbbell,tfidf_dumbbell hand,tfidf_dumbbells,tfidf_elbows,tfidf_engage,tfidf_engage core,tfidf_extend,tfidf_extended,tfidf_extending,tfidf_facing,tfidf_feet,tfidf_feet flat,tfidf_feet shoulder,tfidf_flat,tfidf_flat ground,tfidf_foot,tfidf_forward,tfidf_fully,tfidf_fully extended,tfidf_grasp,tfidf_grip,tfidf_ground,tfidf_hand,tfidf_handles,tfidf_hands,tfidf_head,tfidf_height,tfidf_hips,tfidf_hold,tfidf_keeping,tfidf_keeping straight,tfidf_knees,tfidf_left,tfidf_leg,tfidf_legs,tfidf_lie,tfidf_lift,tfidf_lower,tfidf_machine,tfidf_moment,tfidf_moment slowly,tfidf_movement,tfidf_number,tfidf_number repetitions,tfidf_overhand,tfidf_overhand grip,tfidf_palms,tfidf_palms facing,tfidf_pause,tfidf_pause moment,tfidf_place,tfidf_position,tfidf_position repeat,tfidf_press,tfidf_pull,tfidf_push,tfidf_raise,tfidf_repeat,tfidf_repeat desired,tfidf_repetitions,tfidf_return,tfidf_return starting,tfidf_right,tfidf_shoulder,tfidf_shoulder width,tfidf_sides,tfidf_sit,tfidf_slightly,tfidf_slowly,tfidf_slowly lower,tfidf_stand,tfidf_stand feet,tfidf_starting,tfidf_starting position,tfidf_straight,tfidf_stretch,tfidf_switch,tfidf_upper,tfidf_width,tfidf_width apart
waist,body weight,https://v2.exercisedb.io/image/gfwcp5hasanqu0,1,3/4 sit-up,abs,"['hip flexors', 'lower back']","['lie flat on your back with your knees bent and feet flat on the ground.', 'place your hands behind your head with your elbows pointing outwards.', 'engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle.', 'pause for a moment at the top, then slowly lower your upper body back down to the starting position.', 'repeat for the desired number of repetitions.']",other,"['elbow', 'knee', 'spine']",medium,unknown,3,medium,True,"3/4 sit-up ['lie flat on your back with your knees bent and feet flat on the ground.', 'place your hands behind your head with your elbows pointing outwards.', 'engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle.', 'pause for a moment at the top, then slowly lower your upper body back down to the starting position.', 'repeat for the desired number of repetitions.']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19148335703498404,0.0,0.27485294961106027,0.0,0.0,0.0,0.0,0.0,0.0,0.07813045267351927,0.0795009496341553,0.0,0.0,0.0,0.1590294084013975,0.0,0.0,0.0,0.0,0.0,0.0,0.09929839959233464,0.18524200396740656,0.0,0.3335664773258173,0.19800046769822063,0.0,0.1631750803091613,0.0,0.0,0.0,0.0,0.2637420823842071,0.0,0.0,0.1547709440814808,0.2152566075973498,0.0,0.0,0.0,0.0,0.0,0.15991117980577552,0.0,0.0,0.0,0.20679259759333424,0.19624450121452922,0.09510202101556735,0.0,0.10892197405549184,0.16354674337206432,0.0,0.07908116053615145,0.07914098545505137,0.0,0.0,0.0,0.0,0.1041637645217105,0.11118976610126999,0.19067392118480073,0.08332636830241252,0.09875097239002796,0.0,0.0,0.0,0.0,0.07649542303296361,0.08782878832376702,0.07872321863555423,0.0,0.0,0.0,0.0,0.0,0.0,0.17349907857516925,0.0,0.20950541229414876,0.13768913394003363,0.0,0.0,0.08702590968769791,0.08709248600896066,0.0,0.0,0.0,0.34321299019425217,0.0,0.0
waist,body weight,https://v2.exercisedb.io/image/5gka75utofj5gk,2,45° side bend,abs,['obliques'],"['stand with your feet shoulder-width apart and your arms extended straight down by your sides.', 'keeping your back straight and your core engaged, slowly bend your torso to one side, lowering your hand towards your knee.', 'pause for a moment at the bottom, then slowly return to the starting position.', 'repeat on the other side.', 'continue alternating sides for the desired number of repetitions.']",rotation,"['shoulder', 'knee', 'spine']",medium,unknown,3,medium,True,"45° side bend ['stand with your feet shoulder-width apart and your arms extended straight down by your sides.', 'keeping your back straight and your core engaged, slowly bend your torso to one side, lowering your hand towards your knee.', 'pause for a moment at the bottom, then slowly return to the starting position.', 'repeat on the other side.', 'continue alternating sides for the desired number of repetitions.']",0.12613306046110884,0.0,0.12746075361167383,0.0,0.0,0.0,0.0,0.0,0.3828815936377047,0.0,0.0,0.0,0.0,0.0,0.0,0.19563633271903108,0.182758467325494,0.0,0.08128769819903449,0.08271357683542736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18185128711015733,0.0,0.0,0.10331104020909607,0.0,0.15602329590481961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17113090364415365,0.0,0.0,0.0,0.0,0.0,0.0,0.12062939304794994,0.22090698279424564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11332350256901524,0.1701556545719228,0.0,0.08227682409257084,0.08233906653179794,0.0,0.0,0.0,0.0,0.10837301415746046,0.11568293591526366,0.0,0.08669358037501569,0.10274149151605325,0.0,0.0,0.0,0.0,0.07958659713766804,0.0,0.08190441778756555,0.198658736860387,0.2078727802343733,0.0,0.11258343733712625,0.1304180873019337,0.3725168826922374,0.0,0.0,0.21797150973634508,0.0,0.147328108352093,0.1862584413461187,0.09054261994040198,0.09061188660563715,0.24561020705551914,0.0,0.0,0.0,0.12624283510915718,0.12690477546899312
waist,body weight,https://v2.exercisedb.io/image/zzsugbejg2k3rv,3,air bike,abs,['hip flexors'],"['lie flat on your back with your hands placed behind your head.', 'lift your legs off the ground and bend your knees at a 90-degree angle.', 'bring your right elbow towards your left knee while simultaneously straightening your right leg.', 'return to the starting position and repeat the movement on the opposite side, bringing your left elbow towards your right knee while straightening your left leg.', 'continue alternating sides in a pedaling motion for the desired number of repetitions.']",rotation,"['elbow', 'knee', 'spine']",medium,unknown,3,medium,True,"air bike ['lie flat on your back with your hands placed behind your head.', 'lift your legs off the ground and bend your knees at a 90-degree angle.', 'bring your right elbow towards your left knee while simultaneously straightening your right leg.', 'return to the starting position and repeat the movement on the opposite side, bringing your left elbow towards your right knee while straightening your left leg.', 'continue alternating sides in a pedaling motion for the desired number of repetitions.']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13328561750612158,0.0,0.0,0.0,0.0,0.0,0.0,0.13620664898173523,0.0,0.0,0.056594420991475006,0.05758715147368377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12081077864290243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09552184796619691,0.0,0.0,0.1121095765718519,0.15592285280192805,0.0,0.0,0.0,0.0,0.0,0.1158329476086455,0.5549486299913741,0.3300814498260704,0.1434232292528365,0.14979187916678277,0.1421512808252468,0.0,0.0,0.0,0.0,0.14278349919848343,0.05728307386851059,0.05732640852907054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06035812421442375,0.07153106008629286,0.0,0.0,0.0,0.0,0.05541007413765843,0.0,0.05702379577757801,0.1383109183382552,0.144725953593212,0.544175976368924,0.0,0.0,0.1296775388687707,0.0,0.0,0.0,0.0,0.0,0.0,0.06303791673411037,0.06308614182720373,0.0,0.0,0.0,0.0,0.0,0.0
waist,body weight,https://v2.exercisedb.io/image/b0labsk5lclujz,6,alternate heel touchers,abs,['obliques'],"['lie flat on your back with your knees bent and feet flat on the ground.', 'extend your arms straight out to the sides, parallel to the ground.', 'engaging your abs, lift your shoulders off the ground and reach your right hand towards your right heel.', 'return to the starting position and repeat on the left side, reaching your left hand towards your left heel.', 'continue alternating sides for the desired number of repetitions.']",pull,"['shoulder', 'knee', 'spine']",medium,unknown,3,medium,True,"alternate heel touchers ['lie flat on your back with your knees bent and feet flat on the ground.', 'extend your arms straight out to the sides, parallel to the ground.', 'engaging your abs, lift your shoulders off the ground and reach your right hand towards your right heel.', 'return to the starting position and repeat on the left side, reaching your left hand towards your left heel.', 'continue alternating sides for the desired number of repetitions.']",0.0,0.0,0.0909789428807915,0.0,0.0,0.0,0.0,0.0,0.0,0.14220010680099582,0.0,0.0,0.0,0.0,0.0,0.13964131103507066,0.0,0.0,0.058021537154034554,0.059039300876117605,0.0,0.0,0.0,0.0,0.0,0.0,0.13868790122894256,0.0,0.0,0.0,0.07374135927969017,0.13756512918970354,0.0,0.24771441986102802,0.14703986857818693,0.0,0.0,0.0,0.0,0.0,0.0,0.293791738851481,0.2442996493683642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11875385516089544,0.5689425210035335,0.0,0.0,0.15356911388416392,0.1457358459968705,0.0,0.0,0.0,0.0,0.0,0.05872755548218693,0.058771982893470374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06188014799519812,0.07333482678600949,0.0,0.0,0.0,0.0,0.0568073251561358,0.0,0.05846173929177944,0.1417986428093424,0.14837544313469572,0.37193214546687836,0.0,0.0,0.26589511855423054,0.0,0.0,0.0,0.0,0.0,0.0,0.06462751564243532,0.06467695680609871,0.08765583273860736,0.0,0.0,0.0,0.0,0.0
back,cable,https://v2.exercisedb.io/image/47-0xxj7dyomma,7,alternate lateral pulldown,lats,"['biceps', 'rhomboids']","['sit on the cable machine with your back straight and feet flat on the ground.', 'grasp the handles with an overhand grip, slightly wider than shoulder-width apart.', 'lean back slightly and pull the handles towards your chest, squeezing your shoulder blades together.', 'pause for a moment at the peak of the movement, then slowly release the handles back to the starting position.', 'repeat for the desired number of repetitions.']",pull,"['shoulder', 'spine']",medium,unknown,3,medium,True,"alternate lateral pulldown ['sit on the cable machine with your back straight and feet flat on the ground.', 'grasp the handles with an overhand grip, slightly wider than shoulder-width apart.', 'lean back slightly and pull the handles towards your chest, squeezing your shoulder blades together.', 'pause for a moment at the peak of the movement, then slowly release the handles back to the starting position.', 'repeat for the desired number of repetitions.']",0.10374310069054997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19847442135490645,0.12912929638350737,0.0,0.0,0.0,0.0,0.06685826720081582,0.0680310372137453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08497223176601172,0.15851641676543216,0.0,0.14272076960487817,0.16943416711754028,0.0,0.0,0.0,0.0,0.17416754037008864,0.13578628134020548,0.112845491180159,0.0,0.6156620470358618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16502876073543143,0.09320737556548934,0.0,0.16867841695416694,0.06767181272800464,0.06772300647226454,0.16943416711754028,0.16943416711754028,0.0,0.0,0.08913565149988895,0.09514798439807978,0.0,0.07130454779413409,0.08450378402364737,0.0,0.18077840177133583,0.0,0.0,0.06545912967058398,0.07515738609901246,0.06736551250301429,0.0,0.0,0.0,0.18519735956704203,0.10726748969200824,0.0,0.148467689070558,0.27551522344177554,0.08963962421740024,0.0,0.0,0.0,0.07447034189866152,0.07452731299410408,0.10100589150868984,0.0,0.0,0.0,0.10383338917101748,0.10437782807665057
chest,leverage machine,https://v2.exercisedb.io/image/2msvbnphdg60a9,9,assisted chest dip (kneeling),pectorals,"['triceps', 'shoulders']","['adjust the machine to your desired height and secure your knees on the pad.', 'grasp the handles with your palms facing down and your arms fully extended.', 'lower your body by bending your elbows until your upper arms are parallel to the floor.', 'pause for a moment, then push yourself back up to the starting position.', 'repeat for the desired number of repetitions.']",push,"['elbow', 'knee', 'spine']",medium,unknown,3,medium,True,"assisted chest dip (kneeling) ['adjust the machine to your desired height and secure your knees on the pad.', 'grasp the handles with your palms facing down and your arms fully extended.', 'lower your body by bending your elbows until your upper arms are parallel to the floor.', 'pause for a moment, then push yourself back up to the starting position.', 'repeat for the desired number of repetitions.']",0.0,0.0,0.2887569397827871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16195741810260048,0.0,0.1778363134796889,0.0,0.0,0.0,0.0,0.18415383801551755,0.09369205284260512,0.0,0.0,0.0,0.18741652526211713,0.0,0.0,0.0,0.2059881950858036,0.0,0.16590763526694188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19982524840829913,0.2559095621119485,0.23986279004612793,0.0,0.0,0.0,0.28262904406821704,0.0,0.0,0.24938538389512893,0.0,0.0,0.0,0.0,0.1884556948996404,0.0,0.0,0.0,0.0,0.0,0.11207795151419202,0.22727690190573324,0.12836479810479734,0.0,0.0,0.09319733042062253,0.09326783422578044,0.0,0.0,0.19586915375908986,0.2015076233318408,0.12275723717468612,0.13103739627081726,0.0,0.09820031758234432,0.11637824914043801,0.0,0.0,0.22039042405110892,0.0,0.09015003279838507,0.10350642998102083,0.09277549506369077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10256023565324304,0.10263869600168568,0.0,0.0,0.0,0.20223865099426025,0.0,0.0
waist,assisted,https://v2.exercisedb.io/image/55iu45uq23txjc,10,assisted hanging knee raise with throw down,abs,"['hip flexors', 'lower back']","['hang from a pull-up bar with your arms fully extended and your palms facing away from you.', 'engage your core and lift your knees towards your chest, keeping your legs together.', 'once your knees are at chest level, explosively throw your legs down towards the ground, extending them fully.', 'allow your legs to swing back up and repeat the movement for the desired number of repetitions.']",pull,"['knee', 'spine']",medium,unknown,3,medium,True,"assisted hanging knee raise with throw down ['hang from a pull-up bar with your arms fully extended and your palms facing away from you.', 'engage your core and lift your knees towards your chest, keeping your legs together.', 'once your knees are at chest level, explosively throw your legs down towards the ground, extending them fully.', 'allow your legs to swing back up and repeat the movement for the desired number of repetitions.']",0.0,0.0,0.10843462976007243,0.0,0.0,0.2150870362361055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2671259063012933,0.0,0.0,0.155478028949479,0.0,0.06915384703526122,0.07036688412816208,0.0,0.0,0.0,0.0,0.16114979112796238,0.19019544441237649,0.0,0.15470626393171213,0.1928812137849888,0.12460398713238043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3001552356686951,0.1921994230895056,0.0,0.0,0.11672004319604042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1026229894512306,0.0,0.28307715849865533,0.0,0.0,0.5257550770886698,0.0,0.17369747331696087,0.0,0.0,0.0,0.0,0.1744699935037523,0.06999532566309424,0.0700482771455052,0.0,0.0,0.14710641541818745,0.15134115596499198,0.0,0.0,0.0,0.0,0.0,0.0,0.18698543152224273,0.0,0.1755143362779299,0.06770667009218655,0.0,0.06967850861424332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
waist,assisted,https://v2.exercisedb.io/image/r3h7g5cmcwkhzh,11,assisted hanging knee raise,abs,['hip flexors'],"['hang from a pull-up bar with your arms fully extended and your palms facing away from you.', 'engage your core muscles and lift your knees towards your chest, bending at the hips and knees.', 'pause for a moment at the top of the movement, squeezing your abs.', 'slowly lower your legs back down to the starting position.', 'repeat for the desired number of repetitions.']",pull,"['hip', 'knee', 'spine']",medium,unknown,3,medium,True,"assisted hanging knee raise ['hang from a pull-up bar with your arms fully extended and your palms facing away from you.', 'engage your core muscles and lift your knees towards your chest, bending at the hips and knees.', 'pause for a moment at the top of the movement, squeezing your abs.', 'slowly lower your legs back down to the starting position.', 'repeat for the desired number of repetitions.']",0.0,0.0,0.1305321876501615,0.0,0.0,0.25891895824433775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16078133436104142,0.0,0.0,0.18716241568967462,0.0,0.0832464956804889,0.0847067338515187,0.0,0.0,0.0,0.0,0.1939900087439139,0.2289547858942734,0.0,0.18623337506543972,0.0,0.14999664836141852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18066147149289805,0.23136714918917958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20577540952301598,0.0,0.0,0.0,0.3407645772792309,0.0,0.0,0.21096569282467795,0.0,0.2090947442854377,0.10132937556064446,0.0,0.11605426990945909,0.0,0.21002469397225748,0.0842594566358123,0.0843231989370837,0.0,0.0,0.17708477692409683,0.18218250215199053,0.1109844891025313,0.11847055874797369,0.0,0.08878264391918261,0.10521726311841492,0.0,0.22509061440347294,0.0,0.21128186013099912,0.08150440302324106,0.09357988591681497,0.08387807642025862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11161199508508055,0.14670512587051893,0.0,0.0,0.09272443416116251,0.09279536995189167,0.0,0.0,0.0,0.0,0.0,0.0
waist,assisted,https://v2.exercisedb.io/image/gkzbit5dopwhy6,12,assisted lying leg raise with lateral throw down,abs,"['hip flexors', 'obliques']","['lie flat on your back with your legs extended and your arms by your sides.', 'place your hands under your glutes for support.', 'engage your abs and lift your legs off the ground, keeping them straight.', 'while keeping your legs together, lower them to one side until they are a few inches above the ground.', 'pause for a moment, then lift your legs back to the starting position.', 'repeat the movement to the other side.', 'continue alternating sides for the desired number of repetitions.']",pull,"['hip', 'spine']",medium,unknown,3,medium,True,"assisted lying leg raise with lateral throw down ['lie flat on your back with your legs extended and your arms by your sides.', 'place your hands under your glutes for support.', 'engage your abs and lift your legs off the ground, keeping them straight.', 'while keeping your legs together, lower them to one side until they are a few inches above the ground.', 'pause for a moment, then lift your legs back to the starting position.', 'repeat the movement to the other side.', 'continue alternating sides for the desired number of repetitions.']",0.0,0.0,0.09746773711416225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14960079951771826,0.0,0.0,0.06215974544460258,0.06325009804452564,0.0,0.0,0.0,0.0,0.14485137739130233,0.0,0.0,0.13905953749438288,0.0,0.0,0.0,0.0,0.0,0.13269094578312296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20983035606535244,0.0,0.0,0.12313409377680908,0.0,0.0,0.0,0.0,0.1844877522952555,0.16892496800442813,0.0,0.0,0.1812703314012573,0.6301081459984977,0.16452196021368315,0.3122600170095411,0.07566214216493974,0.0,0.08665714774372123,0.0,0.1568243973236209,0.06291611836593122,0.06296371442614608,0.0,0.0,0.0,0.0,0.08287156755992468,0.08846137863530343,0.15169811511649547,0.06629355987664289,0.07856520852146015,0.0,0.0,0.0,0.15776311705915042,0.06085893349774225,0.0,0.06263134365051962,0.0,0.0,0.0,0.0,0.0,0.28485927286647406,0.0,0.0,0.0,0.0,0.0,0.0,0.0692368751001198,0.069289842503235,0.09390761632704554,0.0,0.0,0.0,0.0,0.0
waist,assisted,https://v2.exercisedb.io/image/2lbtxmjgo0zw6x,13,assisted lying leg raise with throw down,abs,"['hip flexors', 'quadriceps']","['lie flat on your back with your legs extended and your arms by your sides.', 'place your hands under your glutes for support.', 'engage your core and lift your legs off the ground, keeping them straight.', 'raise your legs until they are perpendicular to the ground.', 'lower your legs back down to the starting position.', 'simultaneously, throw your legs down towards the ground, keeping them straight.', 'raise your legs back up to the starting position.', 'repeat for the desired number of repetitions.']",pull,"['hip', 'spine']",medium,unknown,3,medium,True,"assisted lying leg raise with throw down ['lie flat on your back with your legs extended and your arms by your sides.', 'place your hands under your glutes for support.', 'engage your core and lift your legs off the ground, keeping them straight.', 'raise your legs until they are perpendicular to the ground.', 'lower your legs back down to the starting position.', 'simultaneously, throw your legs down towards the ground, keeping them straight.', 'raise your legs back up to the starting position.', 'repeat for the desired number of repetitions.']",0.0,0.0,0.07357465430531496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10549436335366918,0.0,0.046922006380801566,0.047745071714885165,0.0,0.0,0.0,0.0,0.10934274594608644,0.12905069260668078,0.0,0.10497070827675534,0.0,0.0,0.0,0.0,0.0,0.10016330279632626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2375893249504751,0.0,0.0,0.09294920197250164,0.0,0.0,0.0,0.0,0.13926272426730757,0.25502995129362227,0.0,0.0,0.13683401670684225,0.7134666873793596,0.12419131403632117,0.1178565517425485,0.0571144474941972,0.0,0.0,0.0,0.0,0.0474929632723879,0.04752889171168778,0.0,0.0,0.0,0.0,0.0,0.0,0.11451108550300275,0.1000849285108515,0.059305860878055734,0.0,0.0,0.0,0.3572679681532082,0.04594007336234672,0.05274643657021368,0.047277997768297435,0.0,0.0,0.0,0.0,0.0,0.10751466663407802,0.0,0.0,0.0,0.0,0.0,0.0,0.10452851992870171,0.10460848604854886,0.14177451149411374,0.0,0.0,0.0,0.0,0.0
